yyyy-mm-dd hh:mm:ss,W/m²
2020-06-14 12:00:00,449.4
2020-06-14 12:15:00,394.1333333333333
2020-06-14 12:30:00,414.6
2020-06-14 12:45:00,384.8666666666667
2020-06-14 13:00:00,421.26666666666665
2020-06-14 13:15:00,507.26666666666665
2020-06-14 13:30:00,780.8
2020-06-14 13:45:00,312.6666666666667
2020-06-14 14:00:00,712.4
2020-06-14 14:15:00,740.9333333333333
2020-06-14 14:30:00,711.5333333333333
2020-06-14 14:45:00,630.9333333333333
2020-06-14 15:00:00,644.0666666666667
2020-06-14 15:15:00,866.6666666666666
2020-06-14 15:30:00,263.06666666666666
2020-06-14 15:45:00,732.3333333333334
2020-06-14 16:00:00,757.7333333333333
2020-06-14 16:15:00,471.6666666666667
2020-06-14 16:30:00,506.6666666666667
2020-06-14 16:45:00,535.0666666666667
2020-06-14 17:00:00,514.4666666666667
2020-06-14 17:15:00,433.93333333333334
2020-06-14 17:30:00,475
2020-06-14 17:45:00,289.53333333333336
2020-06-14 18:00:00,450.6666666666667
2020-06-14 18:15:00,181.66666666666666
2020-06-14 18:30:00,361.8
2020-06-14 18:45:00,236.73333333333332
2020-06-14 19:00:00,147.93333333333334
2020-06-14 19:15:00,92.26666666666667
2020-06-14 19:30:00,58.266666666666666
2020-06-14 19:45:00,71.2
2020-06-14 20:00:00,119.8
2020-06-14 20:15:00,88.53333333333333
2020-06-14 20:30:00,61
2020-06-14 20:45:00,36.8
2020-06-14 21:00:00,18
2020-06-14 21:15:00,5.733333333333333
2020-06-14 21:30:00,0
2020-06-14 21:45:00,0
2020-06-14 22:00:00,0
2020-06-14 22:15:00,0
2020-06-14 22:30:00,0
2020-06-14 22:45:00,0
2020-06-14 23:00:00,0
2020-06-14 23:15:00,0
2020-06-14 23:30:00,0
2020-06-14 23:45:00,0
2020-06-15 00:00:00,0
2020-06-15 00:15:00,0
2020-06-15 00:30:00,0
2020-06-15 00:45:00,0
2020-06-15 01:00:00,0
2020-06-15 01:15:00,0
2020-06-15 01:30:00,0
2020-06-15 01:45:00,0
2020-06-15 02:00:00,0
2020-06-15 02:15:00,0
2020-06-15 02:30:00,0
2020-06-15 02:45:00,0
2020-06-15 03:00:00,0
2020-06-15 03:15:00,0
2020-06-15 03:30:00,0
2020-06-15 03:45:00,0
2020-06-15 04:00:00,0
2020-06-15 04:15:00,0
2020-06-15 04:30:00,1.4666666666666668
2020-06-15 04:45:00,6.733333333333333
2020-06-15 05:00:00,19.466666666666665
2020-06-15 05:15:00,36.53333333333333
2020-06-15 05:30:00,47.13333333333333
2020-06-15 05:45:00,109.66666666666667
2020-06-15 06:00:00,127.46666666666667
2020-06-15 06:15:00,169.93333333333334
2020-06-15 06:30:00,194.2
2020-06-15 06:45:00,193.33333333333334
2020-06-15 07:00:00,150.86666666666667
2020-06-15 07:15:00,282.3333333333333
2020-06-15 07:30:00,298.8666666666667
2020-06-15 07:45:00,382.26666666666665
2020-06-15 08:00:00,467.53333333333336
2020-06-15 08:15:00,488.26666666666665
2020-06-15 08:30:00,525.8666666666667
2020-06-15 08:45:00,552.4
2020-06-15 09:00:00,589
2020-06-15 09:15:00,579.4666666666667
2020-06-15 09:30:00,671.2666666666667
2020-06-15 09:45:00,693.1333333333333
2020-06-15 10:00:00,723.2666666666667
2020-06-15 10:15:00,749.6666666666666
2020-06-15 10:30:00,778.5333333333333
2020-06-15 10:45:00,797.3333333333334
2020-06-15 11:00:00,818.1333333333333
2020-06-15 11:15:00,847.4666666666667
2020-06-15 11:30:00,873
2020-06-15 11:45:00,723.4
2020-06-15 12:00:00,771.9333333333333
2020-06-15 12:15:00,937.3333333333334
2020-06-15 12:30:00,785.9333333333333
